specimen collector sample ID,lineage name,host (scientific name),breadth of coverage value,sample collection date,geo_loc_name (country),gisaid_epi_isl
QC_659130,JN.1.1,Homo sapiens,99.6,2023-10-09,Canada,EPI_ISL_18430153
NS_658060,JN.1.1,Homo sapiens,99.3,2023-10-12,Canada,EPI_ISL_18438811
ON_659926,JN.1,Homo sapiens,99.6,2023-10-15,Canada,EPI_ISL_18427312
ON_660131,JN.1.1,Homo sapiens,99.4,2023-10-16,Canada,EPI_ISL_18427508
NL_658944,JN.1.4,Homo sapiens,99.3,2023-10-16,Canada,EPI_ISL_18455414
BC_663685,JN.1.1,Homo sapiens,99.0,2023-10-17,Canada,EPI_ISL_18516910
ON_662296,JN.1.1,Homo sapiens,99.0,2023-10-17,Canada,EPI_ISL_18448021
ON_662989,JN.1.4,Homo sapiens,99.6,2023-10-19,Canada,EPI_ISL_18448662
SK_664882,JN.1.2,Homo sapiens,99.3,2023-10-22,Canada,EPI_ISL_18501461
QC_666601,JN.1.6,Homo sapiens,99.4,2023-10-23,Canada,EPI_ISL_18478143
ON_663302,JN.1.4,Homo sapiens,99.6,2023-10-23,Canada,EPI_ISL_18448960
QC_666566,JN.1.1,Homo sapiens,99.6,2023-10-23,Canada,EPI_ISL_18478108
AB_664461,JN.1.2,Homo sapiens,99.3,2023-10-25,Canada,EPI_ISL_18492896
ON_665600,JN.1.4,Homo sapiens,98.1,2023-10-25,Canada,EPI_ISL_18471695
ON_665689,JN.1,Homo sapiens,99.4,2023-10-26,Canada,EPI_ISL_18471776
AB_664524,JN.1.1,Homo sapiens,99.3,2023-10-26,Canada,EPI_ISL_18492956
ON_665834,JN.1.1,Homo sapiens,93.6,2023-10-27,Canada,EPI_ISL_18470550
AB_667146,JN.1,Homo sapiens,99.3,2023-10-27,Canada,EPI_ISL_18512507
AB_664823,JN.1,Homo sapiens,99.3,2023-10-29,Canada,EPI_ISL_18493228
ON_666022,JN.1,Homo sapiens,99.1,2023-10-29,Canada,EPI_ISL_18471986
AB_667786,JN.1.2,Homo sapiens,99.3,2023-10-29,Canada,EPI_ISL_18513073
ON_669249,JN.1,Homo sapiens,99.6,2023-10-30,Canada,EPI_ISL_18504686
QC_666665,JN.1.4,Homo sapiens,99.6,2023-10-30,Canada,EPI_ISL_18478206
AB_667602,JN.1.4,Homo sapiens,99.3,2023-10-31,Canada,EPI_ISL_18512903
AB_667381,JN.1.1,Homo sapiens,99.3,2023-11-01,Canada,EPI_ISL_18512705
AB_667416,JN.1.2,Homo sapiens,99.3,2023-11-01,Canada,EPI_ISL_18512736
AB_667433,JN.1.1,Homo sapiens,99.2,2023-11-01,Canada,EPI_ISL_18512753
AB_667442,JN.1.1,Homo sapiens,99.3,2023-11-01,Canada,EPI_ISL_18512761
AB_667671,JN.1.1,Homo sapiens,93.6,2023-11-02,Canada,EPI_ISL_18512967
ON_669592,JN.1,Homo sapiens,98.7,2023-11-02,Canada,EPI_ISL_18505018
BC_668748,JN.1.1,Homo sapiens,98.9,2023-11-02,Canada,EPI_ISL_18526950
ON_669860,JN.1.2,Homo sapiens,97.0,2023-11-02,Canada,EPI_ISL_18505281
AB_667816,JN.1,Homo sapiens,99.3,2023-11-02,Canada,EPI_ISL_18513100
