specimen collector sample ID,lineage name,host (scientific name),breadth of coverage value,sample collection date,geo_loc_name (country),gisaid_epi_isl
QC_659130,JN.1.1,Homo sapiens,99.6,2023-10-09,Canada,EPI_ISL_18430153
ON_662989,JN.1.4,Homo sapiens,99.6,2023-10-19,Canada,EPI_ISL_18448662
ON_663302,JN.1.4,Homo sapiens,99.6,2023-10-23,Canada,EPI_ISL_18448960
AB_664461,JN.1.2,Homo sapiens,99.3,2023-10-25,Canada,EPI_ISL_18492896
AB_667416,JN.1.2,Homo sapiens,99.3,2023-11-01,Canada,EPI_ISL_18512736
AB_667671,JN.1.1,Homo sapiens,93.6,2023-11-02,Canada,EPI_ISL_18512967
AB_667816,JN.1,Homo sapiens,99.3,2023-11-02,Canada,EPI_ISL_18513100
AB_667895,JN.1,Homo sapiens,99.3,2023-11-03,Canada,EPI_ISL_18513170
NL_666382,JN.1.4,Homo sapiens,99.3,2023-11-03,Canada,EPI_ISL_18537178
ON_669829,JN.1.1,Homo sapiens,98.6,2023-11-05,Canada,EPI_ISL_18505250
BC_668903,JN.1.1,Homo sapiens,98.9,2023-11-06,Canada,EPI_ISL_18527087
QC_671374,JN.1,Homo sapiens,99.6,2023-11-06,Canada,EPI_ISL_18534932
ON_672577,JN.1.5,Homo sapiens,99.6,2023-11-10,Canada,EPI_ISL_18524417
ON_672400,JN.1,Homo sapiens,99.5,2023-11-10,Canada,EPI_ISL_18524351
QC_671507,JN.1.1,Homo sapiens,99.6,2023-11-13,Canada,EPI_ISL_18535065
ON_674374,JN.1.1,Homo sapiens,98.9,2023-11-14,Canada,EPI_ISL_18548665
ON_674736,JN.1,Homo sapiens,98.0,2023-11-15,Canada,EPI_ISL_18549027
AB_673785,JN.1.4.5,Homo sapiens,99.1,2023-11-16,Canada,EPI_ISL_18564101
AB_673737,JN.1,Homo sapiens,99.3,2023-11-17,Canada,EPI_ISL_18564057
NL_671538,JN.1.4,Homo sapiens,95.7,2023-11-17,Canada,EPI_ISL_18563667
ON_674956,JN.1,Homo sapiens,98.6,2023-11-17,Canada,EPI_ISL_18549247
ON_674939,JN.1,Homo sapiens,98.8,2023-11-18,Canada,EPI_ISL_18549230
AB_673827,JN.1,Homo sapiens,99.3,2023-11-19,Canada,EPI_ISL_18564140
ON_677133,JN.1.2,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18582744
QC_678442,JN.1.1,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18586291
ON_677076,JN.1,Homo sapiens,99.4,2023-11-20,Canada,EPI_ISL_18582688
ON_676791,JN.1,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18582445
ON_677058,JN.1,Homo sapiens,98.9,2023-11-20,Canada,EPI_ISL_18582670
QC_678501,JN.1.55,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18586349
BC_680976,JN.1.2,Homo sapiens,99.0,2023-11-21,Canada,EPI_ISL_18654410
ON_677593,JN.1,Homo sapiens,99.6,2023-11-21,Canada,EPI_ISL_18583125
ON_677356,JN.1.2,Homo sapiens,98.8,2023-11-22,Canada,EPI_ISL_18583264
ON_677754,JN.1.1,Homo sapiens,99.6,2023-11-22,Canada,EPI_ISL_18581595
ON_677302,JN.1.52,Homo sapiens,99.2,2023-11-22,Canada,EPI_ISL_18583259
AB_675987,JN.1.4,Homo sapiens,99.3,2023-11-22,Canada,EPI_ISL_18593430
ON_677264,JN.1,Homo sapiens,99.6,2023-11-23,Canada,EPI_ISL_18582854
ON_677905,JN.1.2,Homo sapiens,99.6,2023-11-23,Canada,EPI_ISL_18581718
ON_677977,JN.1,Homo sapiens,99.6,2023-11-24,Canada,EPI_ISL_18581786
AB_676400,JN.1,Homo sapiens,99.3,2023-11-24,Canada,EPI_ISL_18593764
AB_676282,JN.1,Homo sapiens,97.8,2023-11-26,Canada,EPI_ISL_18593671
ON_680349,JN.1.2,Homo sapiens,99.6,2023-11-26,Canada,EPI_ISL_18610774
QC_680784,JN.1.4.5,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18613631
QC_680779,JN.1.4.7,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18613626
ON_680097,JN.1,Homo sapiens,97.8,2023-11-28,Canada,EPI_ISL_18610554
ON_680597,JN.1,Homo sapiens,99.6,2023-11-28,Canada,EPI_ISL_18610981
BC_681130,JN.1.2,Homo sapiens,99.0,2023-11-28,Canada,EPI_ISL_18654523
ON_680581,JN.1,Homo sapiens,99.6,2023-11-28,Canada,EPI_ISL_18610965
AB_679305,JN.1,Homo sapiens,99.3,2023-11-29,Canada,EPI_ISL_18659493
ON_680317,JN.1.2,Homo sapiens,99.5,2023-11-29,Canada,EPI_ISL_18610748
AB_679146,JN.1,Homo sapiens,98.9,2023-11-29,Canada,EPI_ISL_18659367
SK_679776,JN.1.2,Homo sapiens,92.18,2023-11-29,Canada,EPI_ISL_19168906
ON_682440,JN.1.4,Homo sapiens,98.7,2023-11-30,Canada,EPI_ISL_18645164
AB_679327,JN.1,Homo sapiens,99.3,2023-11-30,Canada,EPI_ISL_18659512
ON_680668,JN.1,Homo sapiens,99.4,2023-12-01,Canada,EPI_ISL_18611039
AB_679414,JN.1.1,Homo sapiens,99.3,2023-12-03,Canada,EPI_ISL_18659582
ON_682388,JN.1,Homo sapiens,98.6,2023-12-03,Canada,EPI_ISL_18645112
ON_682747,JN.1.4,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645472
ON_682729,JN.1.2,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645454
ON_682840,JN.1.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645565
ON_683034,JN.1.4.5,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645759
QC_682187,JN.1.22,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18654235
ON_683211,JN.1.1,Homo sapiens,99.0,2023-12-04,Canada,EPI_ISL_18645937
QC_682224,JN.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18654273
ON_682683,JN.1.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645407
ON_682316,JN.1.52,Homo sapiens,98.8,2023-12-04,Canada,EPI_ISL_18645039
ON_683065,JN.1.2,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645791
AB_681570,JN.1,Homo sapiens,99.3,2023-12-04,Canada,EPI_ISL_18677546
ON_682686,JN.1.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645410
ON_700064,JN.1.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18882726
ON_682677,JN.1.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645401
MB_686249,JN.1,Homo sapiens,99.28,2023-12-04,Canada,EPI_ISL_18947040
ON_682495,JN.1,Homo sapiens,98.1,2023-12-04,Canada,EPI_ISL_18645219
SK_692612,JN.1.2,Homo sapiens,92.2,2023-12-05,Canada,EPI_ISL_18930063
ON_683078,JN.1.4,Homo sapiens,99.6,2023-12-05,Canada,EPI_ISL_18645804
ON_682699,JN.1.1,Homo sapiens,99.6,2023-12-05,Canada,EPI_ISL_18645423
ON_682516,JN.1.2,Homo sapiens,99.0,2023-12-05,Canada,EPI_ISL_18645240
BC_681375,JN.1.2,Homo sapiens,99.1,2023-12-05,Canada,EPI_ISL_18654721
ON_683074,JN.1.1,Homo sapiens,99.6,2023-12-05,Canada,EPI_ISL_18645800
ON_685129,JN.1.1,Homo sapiens,99.5,2023-12-05,Canada,EPI_ISL_18697569
ON_683459,JN.1,Homo sapiens,99.6,2023-12-06,Canada,EPI_ISL_18643377
ON_683397,JN.1,Homo sapiens,99.6,2023-12-06,Canada,EPI_ISL_18643456
AB_681713,JN.1,Homo sapiens,99.3,2023-12-06,Canada,EPI_ISL_18677678
AB_681678,JN.1,Homo sapiens,99.3,2023-12-06,Canada,EPI_ISL_18677648
AB_681715,JN.1,Homo sapiens,99.3,2023-12-06,Canada,EPI_ISL_18677680
AB_681695,JN.1.2,Homo sapiens,99.3,2023-12-07,Canada,EPI_ISL_18677662
ON_683502,JN.1.2,Homo sapiens,99.6,2023-12-07,Canada,EPI_ISL_18643412
ON_684400,JN.1.10,Homo sapiens,98.6,2023-12-07,Canada,EPI_ISL_18696840
ON_683370,JN.1.9,Homo sapiens,99.5,2023-12-07,Canada,EPI_ISL_18643314
BC_683725,JN.1,Homo sapiens,99.0,2023-12-07,Canada,EPI_ISL_18718707
ON_683318,JN.1,Homo sapiens,93.6,2023-12-07,Canada,EPI_ISL_18643266
ON_683531,JN.1.1,Homo sapiens,99.6,2023-12-08,Canada,EPI_ISL_18643434
AB_681819,JN.1,Homo sapiens,99.3,2023-12-08,Canada,EPI_ISL_18677777
ON_683348,JN.1.1,Homo sapiens,98.9,2023-12-08,Canada,EPI_ISL_18643293
ON_683376,JN.1,Homo sapiens,99.6,2023-12-08,Canada,EPI_ISL_18643322
ON_684527,JN.1.4,Homo sapiens,99.6,2023-12-08,Canada,EPI_ISL_18696967
NL_680868,JN.1.2,Homo sapiens,90.6,2023-12-08,Canada,EPI_ISL_18714819
ON_683507,JN.1.43.1,Homo sapiens,99.5,2023-12-08,Canada,EPI_ISL_18643417
ON_684405,JN.1.2,Homo sapiens,98.8,2023-12-10,Canada,EPI_ISL_18696845
ON_684626,JN.1.4,Homo sapiens,99.3,2023-12-10,Canada,EPI_ISL_18697066
BC_683883,JN.1.19,Homo sapiens,99.3,2023-12-10,Canada,EPI_ISL_18718830
